"['Comedy', 'Kids & Family']",2000-11-21T16:00:00-08:00,G,Buena Vista Pictures,P100M,"
    In this all new tale, Cruella De Vil is released from prison on good behavior swearing that she will have nothing to do with fur ever again in her life. She, however, cannot keep this promise and soon is plotting another ""furocious"" scheme to get her ultimate Dalmatian coat.",31
"['Action & Adventure', 'Mystery & Suspense', 'Science Fiction & Fantasy']",2000-11-16T16:00:00-08:00,PG13,Columbia Pictures,P123M,"
    In this science-fiction thriller set in the very near future, DNA cloning has been perfected and has become an accepted part of everyday life -- cattle and fish are cloned for sale at the market, genetically engineered fruit and vegetables are found in most family's kitchens (nacho-flavored bananas, anyone?), and if your pet dies, you can even order a cloned replacement. But laws have been passed that strictly forbid the cloning of human beings. However, helicopter pilot Adam Gibson (Arnold Schwarzenegger), who believes people should live and die the old-fashioned way, discovers that someone has been violating these regulations. After Adam luckily avoids being on a copter that crashes, he comes home to discover someone has duplicated him. Now Adam is on a mission to find out who cloned him and why, as he struggles to take back his life from a scientifically created impostor, his boss Michael Drucker (Tony Goldwyn), and a pair of thugs (Sarah Wynter and Rod Rowland) who have been cloned into near-indestructibility. The 6th Day also stars Robert Duvall as cloning expert Griffin Weir, Michael Rooker as Drucker's right-hand man Robert Marshall, and Michael Rapaport as Adam's partner, Hank Morgan.",41
['Comedy'],2000-02-29T16:00:00-08:00,R,MGM Home Entertainment,P83M,"
    Noted hip-hop producer DJ Pooh, who co-wrote the urban comedy Friday, makes his directorial debut with this comedy-drama. A young African-American man is enjoying his freedom after his second stretch in prison. Under the ""three strikes and you're out"" law, another brush with the police could mean life behind bars, so he's determined to stay out of trouble. He quickly learns, however, that trouble has a way of finding him, no matter where he goes. DJ Pooh also stars in 3 Strikes, alongside N'Bushe Wright and Brian Hooks.",0
"['Animation', 'Classics', 'Comedy', 'Kids & Family', 'Mystery & Suspense']",1961-01-24T16:00:00-08:00,G,Buena Vista,P79M,"
    This Disney animated classic is based on the children's story by Dodie Smith. The story involves the canine pets of a struggling composer and his wife: Dalmatians Pongo (male) and Perdita (female). Perdita gives birth to fifteen spotted pups, cuing the entrance of the scheming Cruella De Vil. She demands that the dogs' owners sell her the pups, but she is shown the door instead. Under cover of night, Cruella arranges for the pups to be stolen. The human police are baffled, but the ""dog network"" is alerted by Pongo and sent to rescue the pups. It is discovered that Cruella has been rounding up every Dalmatian she can get her hands on, hoping to use their pelts to make one spectacular fur coat. The dogs rescue the 15 pups, plus 86 others stolen by Ms. DeVil. After an eventful escape, the 101 Dalmatians make their way home--whereupon the composer pens a hit tune, ""Dalmatian Plantation"". 101 Dalmatians represents the Disney animation staff at its very best, and as a bonus introduces the world to Cruella De Vil, one of the greatest movie villains--cartoon or ""real""--of all time. ~ Hal Erickson, Rovi",98
"['Comedy', 'Drama']",2000-02-07T16:00:00-08:00,PG13,Columbia Pictures,P103M,"
    Gwen Cummings is a successful New York writer living life in the fast lane and everyone's favorite party girl. She shares this roller-coaster lifestyle of hopping from dance club to bar to hangover with boyfriend Jasper-handsome, magnetic and equally attracted to life on the wild side. Life is just an exercise in debauchery-until Gwen's ungraceful display at her sister Lily's wedding, when she gets drunk, commandeers the limo and earns herself a DUI and 28 days in court-ordered rehab. There, Gwen comes face to face with a unique set of rules (like no cell phones) and rituals (like chanting) embraced by an assortment of fascinating fellow re-habbers: Eddie, Gerhardt, Oliver, Andrea, Roshanda, and Billie Jean. A jaded city girl to the core, Gwen is determined not to conform. Then she meets Counselor Cornell, who begins to break through her carefully constructed defenses and force her to take a closer look at who she really is. Ultimately, through the companionship of her group as well as a devastating loss, Gwen gradually loses her cynicism and begins the long struggle to take back her life. Maybe, she discovers, your insides can match your outsides.",31
"['Documentary', 'Sports & Fitness']",2000-05-11T17:00:00-07:00,G,MacGillivray Freeman Films,P40M,"
    Join some of California's most unique residents, and experience the wonders of this amazing state's farthest edges as few ever have.",86
"['Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",2000-06-29T17:00:00-07:00,PG,Universal Pictures,P92M,"
    The pride of Frostbite Falls and Whatsamatta U's most famous alumni find their way onto the big screen (and the real world) in this comedy inspired by the popular cartoon series. Years after their TV show is cancelled, Rocky the Flying Squirrel (voice of June Foray) and Bullwinkle J. Moose (voice of Keith Scott) are barely getting by on residual checks; they're wondering what to do next when Fearless Leader (Robert De Niro), the evil genius of Pottsylvania, transforms himself from a cartoon into a living, breathing, nasty human being, thanks to the assistance of television executive Minnie Mogul (Janeane Garofalo). With the help of his newly flesh-and-blood henchmen Boris Badenov (Jason Alexander) and Natasha Fatale (Rene Russo), Fearless Leader plots to take over the world by using television to zombify people and then persuading the masses to elect him president. Can the daring flying squirrel and the well-meaning but not especially bright moose stop them? Unlike the TV show, which made a virtue of its unsophisticated animation, The Adventures of Rocky and Bullwinkle employs a technically sophisticated blend of computer-generated animated characters (Rocky and Bullwinkle) and live actors (Fearless Leader, Boris, and Natasha). Human beings making guest appearances include Randy Quaid, John Goodman, and Jonathan Winters.",43
"['Comedy', 'Kids & Family', 'Science Fiction & Fantasy']",2000-06-29T17:00:00-07:00,PG,Universal Pictures,P92M,"
    The pride of Frostbite Falls and Whatsamatta U's most famous alumni find their way onto the big screen (and the real world) in this comedy inspired by the popular cartoon series. Years after their TV show is cancelled, Rocky the Flying Squirrel (voice of June Foray) and Bullwinkle J. Moose (voice of Keith Scott) are barely getting by on residual checks; they're wondering what to do next when Fearless Leader (Robert De Niro), the evil genius of Pottsylvania, transforms himself from a cartoon into a living, breathing, nasty human being, thanks to the assistance of television executive Minnie Mogul (Janeane Garofalo). With the help of his newly flesh-and-blood henchmen Boris Badenov (Jason Alexander) and Natasha Fatale (Rene Russo), Fearless Leader plots to take over the world by using television to zombify people and then persuading the masses to elect him president. Can the daring flying squirrel and the well-meaning but not especially bright moose stop them? Unlike the TV show, which made a virtue of its unsophisticated animation, The Adventures of Rocky and Bullwinkle employs a technically sophisticated blend of computer-generated animated characters (Rocky and Bullwinkle) and live actors (Fearless Leader, Boris, and Natasha). Human beings making guest appearances include Randy Quaid, John Goodman, and Jonathan Winters.",43
"['Drama', 'Mystery & Suspense']",2000-12-24T16:00:00-08:00,PG13,Miramax,P116M,"
    Texas teenager John Grady Cole finds himself alone in the world after his mother sells the ranch where he grew up, forcing him to leave the only life he has ever known. Joined by his pal Lacey Rawlins, John Grady sets off on horseback for Mexico where the cowboy life still exists. On their way south, the two precocious horsemen encounter a variety of adventures, pick up a sidekick-a 13-year-old misfit named Blevins-and eventually arrive at a hacienda where they are hired to break horses. There, John Grady falls into an ill-fated romance with Alejandra, the beautiful daughter of a wealthy ranch owner. It is a disaster that leads to arrest, Mexican jail and a murder in self-defense-and ultimately proves to be John Grady's greatest test of maturity and manhood.",32
"['Comedy', 'Drama']",2000-09-14T17:00:00-07:00,R,DreamWorks SKG,P123M,"
    Writer and director Cameron Crowe's experiences as a teenage rock journalist -- he was a regular contributor to Rolling Stone while still in high school -- inspired this coming-of-age story about a 15-year-old boy hitting the road with an up-and-coming rock band in the early 1970s. Elaine Miller (Frances McDormand) is a bright, loving, but strict single parent whose distrust of rock music and fears about drug use have helped to drive a wedge between herself and her two children, Anita (Zooey Deschanel) and William (Patrick Fugit). Anita rebels by dropping out of school and becoming a stewardess, but William makes something of his love of rock & roll by writing album reviews for a local underground newspaper. William's work attracts the attention of Lester Bangs (Philip Seymour Hoffman), editor of renegade rock magazine Creem, who takes William under his wing and gives him his first professional writing assignment -- covering a Black Sabbath concert. While William is unable to score an interview with the headliners, the opening act, Stillwater, are more than happy to chat with a reporter, even if he's still too young to drive, and William's piece on the group in Creem gains him a new admirer in Ben Fong-Torres (Terry Chen), an editor at Rolling Stone. Torres offers William an assignment for a 3,000-word cover story on Stillwater, and over the objections of his mother (whose parting words are ""Don't use drugs!""), and after some stern advice from Bangs (who says under no circumstances should he become friends with a band he's covering), Williams joins Stillwater on tour, where he becomes friendly with guitarist Russell Hammond (Billy Crudup) and singer Jeff Bebe (Jason Lee). William also becomes enamored of Penny Lane (Kate Hudson), a groupie traveling with the band who is no older than William, but is deeply involved with Russell. Lester Bangs and Ben Fong-Torres, incidentally, were real-life rock writers Crowe worked with closely during his days as a journalist. Almost Famous' original score was composed by Nancy Wilson of Heart (who is also Crowe's wife). ~ Mark Deming, Rovi",89
"['Comedy', 'Drama', 'Horror', 'Mystery & Suspense']",2000-04-13T17:00:00-07:00,R,Lions Gate Films,P97M,"
    Patrick Bateman is young, white, beautiful, ivy leagued, and indistinguishable from his Wall Street colleagues. Shielded by conformity, privilege, and wealth, Bateman is also the ultimate serial killer, roaming freely and fearlessly. His murderous impulses are fueled by zealous materialism and piercing envy when he discovers someone else has acquired more than he has. After a colleague presents a business card superior in ink and paper to his, Bateman's blood thirst sharpens, and he steps up his homicidal activities to a frenzied pitch. Hatchets fly, butcher knives chop, chainsaws rip, and surgical instruments mutilate-how far will Bateman go? How much can he get away with?",68
"['Drama', 'Mystery & Suspense']",2000-10-19T17:00:00-07:00,R,Silver Nitrate,P94M,"
    Ron Decker is a 21-year-old who has just been smacked with a lengthy prison sentence for drug trafficking. Not confident that he can get through prison on his own, he turns to hardened criminal and ex-gang leader Earl Copen for guidance and protection. When Earl sees a bit of himself in Ron that's worth saving, an odd relationship between the two men is forged -- one that has serious consequences for them both.",82
"['Action & Adventure', 'Drama', 'Mystery & Suspense']",2000-08-24T17:00:00-07:00,R,Warner Bros. Pictures,P120M,"
    Ruthless terrorists are threatening to bring down the United Nations. They frame the one man they believe can stop them - an international security expert named Shaw. Now he must run from his own allies and become a solitary force for good, as he tries to stop what could become World War III.",16
"['Drama', 'Romance']",2000-08-10T17:00:00-07:00,PG13,MGM,P103M,"
    Successful restaurateur Will Keane is on the verge of turning fifty, yet he's still quite the playboy with a persistent case of commitment-phobia. When he meets Charlotte Fielding, a free spirited woman half his age, he expects another quick and easy romance. But their nothing about their relationship is quick or easy. Instead their encounters are rife with intergenerational clashes, differing philosophies and an urgent sense of sensuality and connection. Just when Will is tempted to bail out with his usual line about ""not promising forever,"" Charlotte responds with reasons of her own about why she feels this relationship can't last forever -- she's dying.",19
"['Action & Adventure', 'Comedy', 'Drama', 'Mystery & Suspense']",2000-09-14T17:00:00-07:00,R,Warner Bros. Pictures,P119M,"
    In this action comedy, a crook trying to go straight finds himself lured back to crime by the police, without his even knowing it. When master criminals Jasper (Robert Pastorelli) and Bristol (Doug Hutchison) pull a heist that nets $40 million in gold but leaves behind several dead policemen, detective Edgar Clenteen (David Morse) pulls out all the stops to put the thief behind bars. Jasper is jailed and ends up sharing a cell with Alvin Sanders (Jamie Foxx), a habitual small-time criminal who was brought in after a bungled robbery of a seafood wholesaler. Jasper, who has a weak heart, suffers a heart attack in jail, and as he dies, he gives Alvin a message to pass along to his wife. Eager to track down Bristol, who still has the gold, Clenteen has Alvin secretly implanted with an experimental tracking device, and then lets him go free, while spreading the word on the street that Jasper told him where the gold was stashed shortly before his death. While Alvin makes an effort to start his life over and get a straight job, Clenteen and his staff are electronically following his every move, waiting for Bristol and his associates to track him down. Bait was directed by Antoine Fuqua, whose previous credit was the stylish crime thriller The Replacement Killers.",26
"['Comedy', 'Drama', 'Television']",2000-10-05T17:00:00-07:00,R,New Line Cinema,P135M,"
    Pierre Delacroix is a hip, young, Harvard-educated writer who is the sole person of color working for an upstart network with floundering ratings. Despite several attempts, Delacroix has yet to see any of his concepts go into production. Now his boss, the ratings-hungry, culture-vulture Dunwitty, issues him a searing ultimatum: come up with a hot, trend-setting, headline-making, urban hit or get fired. Feeling doomed, Delacroix decides to present the most outrageous, unbelievable farce of stereotypical comedy he can imagine - hearkening back to the old days of ""black-face"" minstrels with a variety show featuring Manray, a homeless tap dancer, and his sidekick Womack. Incredibly, Delacroix's spoof turns into a ratings bonanza, a cultural phenomenon that has the media pundits raving and audiences of all types howling.",48
"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']",2000-05-11T17:00:00-07:00,PG13,Warner Bros. Pictures,P118M,"
    When an alien race called the Psyclos turns the Earth into a mining colony, it's up to rebel hero, Johnny Goodboy, to lead a revolt and save the planet from the giant alien species.",3
"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']",2000-05-11T17:00:00-07:00,PG13,Warner Bros. Pictures,P118M,"
    When an alien race called the Psyclos turns the Earth into a mining colony, it's up to rebel hero, Johnny Goodboy, to lead a revolt and save the planet from the giant alien species.",3
"['Comedy', 'Drama']",2000-06-08T17:00:00-07:00,R,Sony Pictures Home Entertainment,P100M,"
    A dying man finds that horses, blondes, and the Mob may end his life faster than cancer in this dark comedy from the U.K. Joe (Billy Connolly) is a regular guy who runs a flower shop and has never had much in the way of good luck. Things seem to be grim for Joe when he's diagnosed with a brain tumor, but a bit of good fortune appears on the horizon when he wins a jackpot at the racetrack. However, Hush (Sharon Stone), an exotic dancer who has fallen deeply in debt to a gang of thugs, steals Joe's newly won fortune to pay them off. Joe gets his money back by explaining to the gangsters what happened, but only because they mistake him for a syndicate kingpin they've heard about but never met. When the gangsters discover that Joe is a florist and not a career criminal, they find the situation less than amusing. Beautiful Joe also stars Ian Holm, Gil Bellows, and Jurnee Smollett. While the film enjoyed a theatrical run in Europe, it debuted in America on the Cinemax premium cable network.",60
['Comedy'],2000-09-28T17:00:00-07:00,PG13,Warner Bros. Pictures,P91M,"
    A ""behind the scenes"" look into the highly competitive and cut-throat world of dog-shows through the eyes of a group of ruthless dog owners including: yuppies Hamilton and Meg Swan and their neurotic weimeraner ""Beatrice""; mild-mannered menswear salesman Gerry and Cookie Fleck, whose Norwich terrier's registered name is ""Champion Thank You Neil Sedaka""; fly-fishing shop owner Harlan Pepper and his beloved bloodhound ""Hubert""; New Yorker Scott Donlon and his longtime hairdresser partner, Stefan Vanderhoof, who anticipate the crown for their pampered shih tzus ""Miss Agnes"" and ""Tyrone""; and the champion poodle ""Rhapsody in White"" who might just snare the title for the third year running.",94
['Drama'],2001-01-11T16:00:00-08:00,R,Fine Line Features,P125M,"
    This is the story of Cuban poet and novelist Reinaldo Arenas. Raised in the Oriente Province of Cuba in the 1940s, Arenas began his life-long love of the sea and water. Leaving home as a young adolescent, he moves to Havana where he finds himself swept up in the revolutionary spirit and joins a circle of writers and artists. His first novel, ""Singing from the Well,"" is published in Cuba, but as Castro's oppressive regime gathers force, Arenas' homosexuality and political writing make him a target. After being falsely accused of molestation, Arenas is arrested and imprisoned at El Morro. Eventually released from prison after dehumanizing treatment, Arenas flees Cuba in the 1980 Mariel Harbor boatlift. After moving to New York with his friend Lazaro Gomez Carilles, Arenas' hopes for a new life are destroyed by AIDS, and he dies in 1993, at the age of 45.",73
